id,total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
22,9,0,2,0,7,7,8,9,15,15,24,64,0.19,5.26,336.84,0.02,18.71,2,1,0,1,0,2,0.29,1,0,0,0.22,1,false
23,21,0,2,0,19,16,8,36,47,24,83,263,0.11,9.09,2390.91,0.09,132.83,8,4,4,4,0,5,0.26,1,4,0.8,0.24,0,false
24,7,0,0,0,7,8,4,8,11,12,19,47,0.5,2,94,0.02,5.22,0,0,1,0,0,1,0.14,0,1,1,0.14,0,false
25,6,0,0,0,6,7,4,7,9,11,16,38,0.5,2,76,0.01,4.22,0,0,0,0,0,1,0.17,0,0,0,0.17,0,false
26,13,0,0,0,13,12,9,25,30,21,55,167,0.11,9.09,1518.18,0.06,84.34,2,1,0,0,0,2,0.15,0,0,0,0.15,0,false
27,20,0,0,0,20,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,10,5,0,5,1,4,0.2,1,0,0,0.2,1,false
28,21,0,0,0,21,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,10,5,0,5,1,4,0.19,1,0,0,0.19,1,false
29,22,0,6,0,16,14,7,20,33,21,53,161,0.2,5,805,0.05,44.72,10,5,0,5,1,4,0.25,1,0,0,0.18,1,false
30,25,0,10,0,15,18,16,40,58,34,98,345,0.06,16.67,5750,0.12,319.44,14,7,1,6,1,7,0.47,1.17,1,0.14,0.28,0,false
31,33,0,14,0,19,17,17,45,62,34,107,377,0.04,25,9425,0.13,523.61,12,6,2,5,1,6,0.32,1.2,2,0.33,0.18,0,false
32,9,0,3,0,6,5,9,8,15,14,23,60,0.14,7.14,428.57,0.02,23.81,4,2,0,2,0,3,0.5,1,0,0,0.33,0,false
33,4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,false
34,4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,false
35,3,0,0,0,3,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.33,0,0,0,0.33,1,false
36,3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,false
37,3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,false
38,3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,false
39,11,0,1,0,10,9,12,17,25,21,42,127,0.09,11.11,1411.11,0.04,78.4,4,2,0,1,0,3,0.3,2,0,0,0.27,0,true
40,35,0,29,0,6,31,7,35,40,38,75,272,0.25,4,1088,0.09,60.44,0,0,5,0,0,1,0.17,0,5,5,0.03,0,false
41,22,0,9,1,13,13,13,27,47,26,74,241,0.07,14.29,3442.86,0.08,191.27,12,6,1,5,1,6,0.46,1.2,1,0.17,0.27,0,false
42,10,0,2,0,8,8,11,14,24,19,38,111,0.1,10,1110,0.04,61.67,6,3,0,2,0,4,0.5,1.5,0,0,0.4,0,true
43,21,0,7,0,14,11,9,25,39,20,64,191,0.1,10,1910,0.06,106.11,10,5,0,5,2,4,0.29,1,0,0,0.19,0,true
44,21,0,5,0,16,17,11,40,50,28,90,299,0.08,12.5,3737.5,0.1,207.64,4,2,6,0,0,3,0.19,0,6,2,0.14,0,false
45,10,0,3,0,7,9,7,16,18,16,34,94,0.16,6.25,587.5,0.03,32.64,0,0,2,0,0,1,0.14,0,2,2,0.1,1,false
46,9,0,4,0,5,4,3,4,9,7,13,25,0.67,1.49,37.31,0.01,2.07,0,0,3,0,0,1,0.2,0,3,3,0.11,0,false
47,19,0,7,0,12,15,9,19,31,24,50,158,0.18,5.56,877.78,0.05,48.77,10,5,2,5,2,4,0.33,1,2,0.5,0.21,0,true
48,60,9,30,0,21,33,9,40,70,42,110,411,0.18,5.56,2283.33,0.14,126.85,10,5,19,4,1,5,0.24,1.25,19,3.8,0.08,0,false
49,10,0,0,0,10,7,8,16,21,15,37,100,0.11,9.09,909.09,0.03,50.51,2,1,0,0,0,2,0.2,0,0,0,0.2,0,false
50,19,1,4,0,14,10,8,15,27,18,42,121,0.17,5.88,711.76,0.04,39.54,4,2,5,1,0,3,0.21,2,5,1.67,0.16,0,false
51,36,4,5,0,27,15,7,41,59,22,100,309,0.1,10,3090,0.1,171.67,10,5,11,0,0,6,0.22,0,11,1.83,0.17,0,false
52,8,0,3,0,5,6,6,7,11,12,18,44,0.29,3.45,151.72,0.01,8.43,4,2,1,1,0,3,0.6,2,1,0.33,0.38,1,false
53,3,0,0,0,3,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.33,0,0,0,0.33,0,false
54,38,0,13,1,25,23,13,47,68,36,115,412,0.08,12.5,5150,0.14,286.11,10,5,9,3,1,5,0.2,1.67,9,1.8,0.13,0,false
55,54,0,19,0,35,40,13,79,112,53,191,758,0.08,12.5,9475,0.25,526.39,24,12,4,9,1,11,0.31,1.33,4,0.36,0.2,0,false
56,55,0,13,0,42,43,13,79,108,56,187,752,0.08,12.5,9400,0.25,522.22,20,10,3,8,2,7,0.17,1.25,3,0.43,0.13,1,false
57,14,2,8,0,4,15,5,19,22,20,41,122,0.32,3.13,381.25,0.04,21.18,0,0,5,0,0,1,0.25,0,5,5,0.07,0,false
58,72,0,23,1,49,47,15,109,158,62,267,1101,0.06,16.67,18350,0.37,1019.44,32,16,10,11,2,13,0.27,1.45,10,0.77,0.18,1,false
59,7,0,4,0,3,5,3,7,9,8,16,33,0.48,2.08,68.75,0.01,3.82,0,0,3,0,0,1,0.33,0,3,3,0.14,0,false
60,35,0,13,0,22,28,13,49,71,41,120,445,0.09,11.11,4944.44,0.15,274.69,14,7,4,4,1,6,0.27,1.75,4,0.67,0.17,0,false
61,37,0,13,1,24,33,15,56,79,48,135,522,0.08,12.5,6525,0.17,362.5,12,6,6,4,1,5,0.21,1.5,6,1.2,0.14,1,false
62,39,0,14,1,25,34,15,62,88,49,150,583,0.07,14.29,8328.57,0.19,462.7,14,7,7,4,1,6,0.24,1.75,7,1.17,0.15,1,false
63,13,0,9,0,4,7,4,15,17,11,32,76,0.23,4.35,330.43,0.03,18.36,0,0,4,0,0,1,0.25,0,4,4,0.08,0,false
64,12,0,4,0,8,9,8,13,22,17,35,99,0.17,5.88,582.35,0.03,32.35,2,1,2,0,0,2,0.25,0,2,1,0.17,0,false
65,4,0,0,0,4,4,6,6,7,10,13,29,0.22,4.55,131.82,0.01,7.32,0,0,0,0,0,1,0.25,0,0,0,0.25,2,false
66,4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,false
67,27,0,10,0,17,15,9,36,48,24,84,266,0.09,11.11,2955.56,0.09,164.2,8,4,5,4,1,4,0.24,1,5,1.25,0.15,0,false
68,31,0,11,0,20,17,8,46,66,25,112,360,0.09,11.11,4000,0.12,222.22,8,4,12,0,0,5,0.25,0,12,2.4,0.16,0,false
69,8,0,0,0,8,6,3,7,13,9,20,43,0.57,1.75,75.44,0.01,4.19,0,0,5,0,0,1,0.13,0,5,5,0.13,0,false
70,10,0,7,0,3,7,3,7,15,10,22,50,0.67,1.49,74.63,0.02,4.15,0,0,6,0,0,1,0.33,0,6,6,0.1,0,false
71,79,5,26,2,48,34,10,70,110,44,180,681,0.1,10,6810,0.23,378.33,24,12,7,12,4,9,0.19,1,7,0.78,0.11,0,false
72,21,2,9,0,10,9,7,15,27,16,42,116,0.17,5.88,682.35,0.04,37.91,4,2,3,2,0,3,0.3,1,3,1,0.14,0,false
73,34,0,5,0,29,18,11,35,58,29,93,313,0.09,11.11,3477.78,0.1,193.21,22,11,0,11,1,10,0.34,1,0,0,0.29,0,false
74,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,false
75,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,false
76,58,0,8,0,50,26,15,66,108,41,174,646,0.05,20,12920,0.22,717.78,36,18,9,18,4,14,0.28,1,9,0.64,0.24,1,false
77,36,0,5,0,31,20,11,37,60,31,97,333,0.1,10,3330,0.11,185,26,13,0,13,1,12,0.39,1,0,0,0.33,0,false
78,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,false
79,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,false
80,60,0,8,0,52,26,16,71,114,42,185,691,0.05,20,13820,0.23,767.78,38,19,9,19,4,15,0.29,1,9,0.6,0.25,1,true
81,4,0,2,0,2,5,4,5,7,9,12,26,0.5,2,52,0.01,2.89,0,0,0,0,0,1,0.5,0,0,0,0.25,0,false
82,3,0,0,0,3,2,4,2,5,6,7,12,0.5,2,24,0,1.33,0,0,0,0,0,1,0.33,0,0,0,0.33,0,false
83,3,0,0,0,3,2,4,2,5,6,7,12,0.5,2,24,0,1.33,0,0,0,0,0,1,0.33,0,0,0,0.33,0,false
84,60,0,8,0,52,26,16,70,113,42,183,683,0.05,20,13660,0.23,758.89,38,19,9,19,4,15,0.29,1,9,0.6,0.25,1,false
85,48,0,7,0,41,22,11,51,84,33,135,472,0.08,12.5,5900,0.16,327.78,30,15,0,15,1,14,0.34,1,0,0,0.29,0,false
86,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,false
87,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,false
88,95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,76,38,13,38,10,28,0.34,1,13,0.46,0.29,1,true
89,32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,18,9,0,9,1,8,0.3,1,0,0,0.25,0,false
90,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,false
91,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,false
92,34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1,4,0.5,0.24,1,false
93,38,0,5,0,33,22,11,39,62,33,101,353,0.1,10,3530,0.12,196.11,30,15,0,15,1,14,0.42,1,0,0,0.37,0,false
94,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,false
95,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,false
96,34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1,4,0.5,0.24,1,false
97,40,0,6,0,34,19,11,42,70,30,112,380,0.08,12.5,4750,0.13,263.89,24,12,0,12,1,11,0.32,1,0,0,0.28,0,false
98,3,0,0,0,3,2,4,2,5,6,7,12,0.5,2,24,0,1.33,0,0,0,0,0,1,0.33,0,0,0,0.33,0,false
99,4,0,0,0,4,3,5,4,7,8,11,22,0.3,3.33,73.33,0.01,4.07,0,0,0,0,0,1,0.25,0,0,0,0.25,0,false
100,95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,76,38,13,38,10,28,0.34,1,13,0.46,0.29,1,false
101,40,0,5,0,35,24,11,41,64,35,105,373,0.11,9.09,3390.91,0.12,188.38,34,17,0,17,1,16,0.46,1,0,0,0.4,0,false
102,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,false
103,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,false
104,34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1,4,0.5,0.24,1,false
105,12,0,3,0,9,11,15,22,32,26,54,175,0.07,14.29,2500,0.06,138.89,8,4,0,3,1,4,0.44,1.33,0,0,0.33,2,false
106,3,0,0,0,3,5,6,5,8,11,13,31,0.33,3.03,93.94,0.01,5.22,0,0,0,0,0,1,0.33,0,0,0,0.33,3,false
107,18,0,3,0,15,10,15,31,46,25,77,247,0.04,25,6175,0.08,343.06,12,6,0,5,1,6,0.4,1.2,0,0,0.33,2,false
108,8,0,0,0,8,7,7,8,14,14,22,58,0.25,4,232,0.02,12.89,4,2,0,2,1,2,0.25,1,0,0,0.25,1,false
109,2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,false
110,2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,false
111,2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,false
112,4,0,0,0,4,2,5,3,7,7,10,19,0.27,3.7,70.37,0.01,3.91,2,1,0,1,0,2,0.5,1,0,0,0.5,0,false
113,2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,false
114,2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,false
115,2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,false
116,2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,false
117,32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,18,9,0,9,1,8,0.3,1,0,0,0.25,0,false
118,6,0,0,0,6,3,5,5,11,8,16,33,0.24,4.17,137.5,0.01,7.64,4,2,0,2,0,3,0.5,1,0,0,0.5,0,false
119,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,false
120,27,0,3,0,24,16,9,26,44,25,70,225,0.14,7.14,1607.14,0.08,89.29,16,8,1,8,3,6,0.25,1,1,0.17,0.22,0,false
121,51,2,12,0,37,29,17,58,91,46,149,570,0.06,16.67,9500,0.19,527.78,34,17,4,17,3,14,0.38,1,4,0.29,0.27,1,true
