id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
62,3,0,1,0,6,2,1,2,3,1,0.5,5,1,0,1,2,7,6,252,0.01,14,0.17,14,42,0.5,2,3,5,0.5,4,10,2,6,4,50,2,FALSE
63,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
64,1,1,1,0,0,1,0.33,0,0,1,1,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0.2,0,1,0,1,5,33.33,3,FALSE
65,7,1,14,3,12,4,0.24,6,2,2,0.5,17,1,0,3,4,15.1,18.6,5225.56,0.09,63,0.05,290.31,280.94,0.25,3,6,15,0.16,31,32,10,12,25,85,17,FALSE
66,1,0,1,0,4,1,0.5,2,2,1,1,1,1,0,1,2,8,3,72,0.01,8,0.33,4,24,1,1,2,2,0.25,2,6,2,6,4,50,2,FALSE
67,1,1,4,0,0,1,0.2,0,0,1,1,2,1,0,1,13,44.66,3,401.94,0.04,31,0.33,22.33,133.98,1,0,0,3,0.14,14,17,14,6,7,80,5,FALSE
68,15,5,49,15,28,8,0.15,14,2,1,0.13,49,1,0,6,5,49.75,43,91978.75,0.71,383,0.02,5109.93,2139.04,0.13,7,14,43,0.11,172,211,32,16,76,91.43,55,FALSE
69,3,1,4,2,4,2,0.4,2,2,1,0.5,7,1,0,1,0,13.44,4,215.1,0.02,15,0.25,11.95,53.77,0.5,1,2,7,0.22,4,11,4,8,9,85.71,5,FALSE
70,1,0,3,0,0,1,0.25,0,0,1,1,1,1,0,1,1,10.68,4.67,232.53,0.02,15,0.21,12.92,49.83,1,0,0,2,0.17,4,11,3,7,6,75,4,FALSE
71,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.51,0.5,2.38,0,3,2,0.13,4.75,1,0,0,3,1,2,1,2,1,1,0,0,FALSE
72,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
73,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,9.87,6.75,449.6,0.02,18,0.15,24.98,66.61,0.5,1,2,7,0.29,6,12,4,9,7,80,5,FALSE
74,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,0,5.8,2,23.22,0,5,0.5,1.29,11.61,1,0,0,2,0.25,1,4,1,4,4,50,2,FALSE
75,9,4,7,2,16,5,0.56,8,2,5,1,24,4,0,2,2,17.27,12.25,2591.12,0.07,45,0.08,143.95,211.52,0.8,4,8,21,0.33,21,24,12,14,15,81.82,9,FALSE
76,1,1,2,0,0,1,0.33,0,0,1,1,2,1,0,1,2,6.67,4.5,135,0.01,10,0.22,7.5,30,1,0,0,3,0.2,3,7,2,6,5,66.67,3,FALSE
77,3,1,1,0,6,2,1,2,3,1,0.5,5,1,0,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,0.5,2,3,5,0.5,5,9,4,7,4,50,2,FALSE
78,1,0,1,2,0,1,0.5,0,0,1,1,1,1,0,1,0,6.55,3,58.95,0.01,7,0.33,3.28,19.65,1,0,0,2,0.17,1,6,1,6,6,75,2,FALSE
79,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,3,1,1,3,1,3,1,0,0,FALSE
80,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,4,32.5,0.5,8.13,0.01,7,2,0.45,16.25,1,0,0,2,0.13,4,3,4,1,8,50,2,FALSE
81,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.51,0.5,2.38,0,3,2,0.13,4.75,1,0,0,3,1,2,1,2,1,1,0,0,FALSE
82,1,1,0,0,0,1,1,0,0,1,1,2,1,0,1,3,33.44,0.63,13.06,0.01,9,1.6,0.73,20.9,1,0,0,3,0.33,5,4,4,1,3,0,1,FALSE
83,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.33,2,4,2,4,3,50,2,FALSE
84,1,0,1,0,4,1,0.5,2,2,1,1,1,1,0,1,2,8,3,72,0.01,8,0.33,4,24,1,1,2,2,0.25,2,6,2,6,4,50,2,FALSE
85,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
86,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,FALSE
87,3,0,0,0,4,2,1,2,2,1,0.5,5,1,0,0,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,1,3,5,2,5,2,0,0,FALSE
88,1,2,1,0,0,1,0.5,0,0,1,1,3,1,0,1,1,11.23,2,44.92,0.01,8,0.5,2.5,22.46,1,0,0,4,0.25,3,5,3,4,4,50,2,FALSE
89,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,7.49,3,67.38,0.01,8,0.33,3.74,22.46,1,0,0,2,1,1,7,1,6,1,0,0,FALSE
90,7,3,13,1,12,4,0.27,6,2,3,0.75,20,1,0,2,1,11.84,26.39,8245.95,0.1,65,0.04,458.11,312.48,0.25,3,6,18,0.22,25,40,9,19,18,87.5,15,FALSE
91,5,7,5,6,8,3,0.5,4,2,3,1,17,1,0,1,3,24.08,11.85,3379.63,0.1,60,0.08,187.76,285.29,0.33,2,4,16,0.18,22,38,13,14,17,91.67,6,FALSE
92,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
93,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,2,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.25,2,4,2,4,4,50,2,FALSE
94,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,2,1,1,5,1,5,1,0,0,FALSE
95,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
96,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.6,2.5,60,0.01,8,0.4,3.33,24,1,0,0,3,1,3,5,3,5,1,0,0,FALSE
97,7,4,6,0,12,4,0.57,6,2,4,1,22,1,0,1,1,12.38,20,4951.76,0.08,54,0.05,275.1,247.59,0.25,3,6,20,0.44,24,30,9,15,9,85.71,7,FALSE
98,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,FALSE
99,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80,5,FALSE
100,7,9,9,2,12,4,0.36,6,2,4,1,23,1,0,2,0,15.86,16,4061.18,0.08,54,0.06,225.62,253.82,0.25,3,6,21,0.27,20,34,10,16,15,84.62,11,FALSE
101,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
102,3,2,6,1,4,2,0.22,2,2,1,0.5,7,1,0,3,2,11.06,11.14,1372.69,0.04,29,0.09,76.26,123.19,0.5,1,2,7,0.17,13,16,7,12,12,70,9,FALSE
103,13,2,9,1,20,7,0.7,8,2.5,1,0.14,25,7,1,1,2,17.4,18.42,5901.18,0.11,69,0.05,327.84,320.43,1,6,10,20,0.54,34,35,12,13,13,90.91,10,FALSE
104,7,0,7,0,12,4,0.44,6,2,1,0.25,12,1,0,2,2,13.75,12,1980.7,0.06,36,0.08,110.04,165.06,0.25,3,6,10,0.36,12,24,8,16,11,77.78,9,FALSE
105,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,6.55,3,58.95,0.01,7,0.33,3.28,19.65,1,0,0,2,1,1,6,1,6,1,0,0,FALSE
106,1,1,0,0,0,1,1,0,0,1,1,2,1,0,1,1,9.6,2.5,60,0.01,8,0.4,3.33,24,1,0,0,3,0.5,3,5,3,5,2,0,1,FALSE
107,1,2,2,0,0,1,0.33,0,0,1,1,3,1,0,1,1,10.8,4,172.74,0.01,13,0.25,9.6,43.19,1,0,0,4,0.2,2,11,2,8,5,66.67,3,FALSE
108,1,1,1,0,0,1,0.33,0,0,1,1,2,1,0,2,2,9.51,0.5,2.38,0,3,2,0.13,4.75,1,0,0,3,0.2,2,1,2,1,5,33.33,3,FALSE
109,3,0,1,0,4,2,1,2,2,1,0.5,6,1,0,1,2,5.05,5,126.33,0.01,9,0.2,7.02,25.27,0.5,1,2,6,0.5,4,5,2,5,4,50,2,FALSE
110,1,1,2,0,0,1,0.33,0,0,1,1,2,1,0,1,2,5.4,8,345.48,0.01,13,0.13,19.19,43.19,1,0,0,3,0.2,4,9,2,8,5,66.67,3,FALSE
111,1,1,1,0,0,1,0.5,0,0,1,1,2,1,0,1,2,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.2,3,6,3,6,5,50,2,FALSE
112,1,7,48,12,0,1,0.02,0,0,1,1,40,1,0,2,11,487.12,3.56,6182.29,0.58,295,0.28,343.46,1735.38,1,0,0,41,0.01,133,162,56,3,71,96.77,50,FALSE
113,1,1,1,4,0,1,0.5,0,0,1,1,2,1,0,1,1,5.8,2,23.22,0,5,0.5,1.29,11.61,1,0,0,3,0.13,1,4,1,4,8,83.33,2,FALSE
114,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,50,2,FALSE
115,5,3,4,0,6,3,0.6,2,3,3,1,10,3,1,1,3,17.44,5.63,551.81,0.03,24,0.18,30.66,98.1,1,2,3,9,0.38,10,14,8,9,8,80,5,FALSE
116,1,1,2,0,0,1,0.33,0,0,1,1,2,1,0,1,3,11.86,3.5,145.3,0.01,12,0.29,8.07,41.51,1,0,0,3,0.25,4,8,4,7,4,66.67,3,FALSE
117,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,50,2,FALSE
118,1,1,3,0,0,1,0.25,0,0,1,1,2,1,0,1,0,8.72,4,139.48,0.01,11,0.25,7.75,34.87,1,0,0,3,0.17,4,7,3,6,6,75,4,FALSE
119,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,9.6,2.5,60,0.01,8,0.4,3.33,24,1,0,0,2,0.33,3,5,3,5,3,50,2,FALSE
120,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,FALSE
121,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.25,2,4,2,4,4,50,2,FALSE
122,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
123,1,1,0,0,0,1,1,0,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0.33,0,1,0,1,3,0,1,FALSE
124,3,3,6,0,4,2,0.25,2,2,2,1,8,1,0,2,1,14.88,5.25,410.22,0.03,20,0.19,22.79,78.14,0.5,1,2,8,0.2,7,13,6,9,10,75,8,FALSE
125,5,3,9,1,8,3,0.25,4,2,3,1,15,1,0,3,1,10.22,20.64,4353.75,0.07,46,0.05,241.87,210.91,0.33,2,4,14,0.2,17,29,7,17,15,76.92,12,FALSE
126,3,0,0,0,4,2,1,2,2,1,0.5,5,1,0,0,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,1,3,5,2,5,2,0,0,FALSE
127,1,1,2,0,0,1,0.33,0,0,1,1,2,1,0,1,1,9.06,3.5,110.95,0.01,10,0.29,6.16,31.7,1,0,0,3,0.2,2,8,2,7,5,66.67,3,FALSE
128,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,5,0,0,11.61,1,0,0,2,1,0,5,0,5,1,0,0,FALSE
129,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
130,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,2,1,1,5,1,5,1,0,0,FALSE
131,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.33,2,4,2,4,3,50,2,FALSE
132,1,1,3,0,0,1,0.25,0,0,1,1,2,1,0,1,1,9,3.33,100,0.01,10,0.3,5.56,30,1,0,0,3,0.17,4,6,3,5,6,75,4,FALSE
133,1,1,1,0,0,1,0.5,0,0,1,1,2,1,0,1,1,12.06,1.5,27.14,0.01,7,0.67,1.51,18.09,1,0,0,3,0.25,3,4,3,3,4,50,2,FALSE
134,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.51,0.5,2.38,0,3,2,0.13,4.75,1,0,0,3,1,2,1,2,1,1,0,0,FALSE
135,1,1,1,0,0,1,0.5,0,0,1,1,2,1,0,1,2,10.38,4,166.05,0.01,12,0.25,9.23,41.51,1,0,0,3,0.33,3,9,3,8,3,50,2,FALSE
136,1,3,2,0,0,1,0.33,0,0,1,1,5,1,0,1,0,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,6,0.2,2,4,2,4,5,66.67,3,FALSE
137,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.6,2.5,60,0.01,8,0.4,3.33,24,1,0,0,3,1,3,5,3,5,1,0,0,FALSE
